ID; Name; Description; Whitepaper;FB ;Twitter; Github  
80;Ripitide Coin;Cryptocurrency;https://riptidecoin.com/wp-content/uploads/2017/09/white-for-site-5.pdf;https://www.facebook.com/riptidecoin;https://twitter.com/riptidecoin;https://github.com/riptidecoin
81;Big Data Coin;Data-backed cryptocurrency, allowing everyone to monetize their own data;http://bigdatacoin.one/;;;
82;Normie Cash;The Currency of the Normies;https://normie.cash/;;;
83;CrowdWiz;An Investments Ecosystem Based on Ethereum;https://crowdwiz.io/docs/whitepaper-en.pdf;https://www.facebook.com/Crowdwiz;https://twitter.com/Crowdwiz;https://github.com/Crowdwiz
84;ABR;Augmented Bionic Limbs from Decentralized Labs;http://abrlab.com/ABR_Whitepapper_En.pdf;https://www.facebook.com/abrlabs/;https://twitter.com/ABR_lab;
85;Aleph Market;Peer to Peer Marketplace on the Blockchain;http://alephmarket.io/wp-content/uploads/2017/02/Whitepaper-_Aleph.pdf;https://www.facebook.com/groups/CryptoCurrencyandinvesting/;;https://github.com/alephmarket/
86;Ignite Ratings;Decentralised and self-regulating investment intelligence and ratings platform powered by the crowd;https://igniteratings.com/wp-content/uploads/2017/09/Ignite-White-Paper-280917-1.pdf;https://www.facebook.com/Ignite-Ratings-124119351512354/;https://twitter.com/igniteratings;
87;KAICOIN;Security-oriented Cryptocurrency;http://res.cloudinary.com/dhjjs2uz3/image/upload/v1507861038/KaicoinICO/web/whitepaper_en.pdf;;;
88;Hextracoin;Peer-to-peer network lending platform;https://hextracoin.co/Hextracoin_EN.pdf;https://www.facebook.com/messages/t/1908215949505162;;
89;PROPX;Blockchain-based Investment Fund;https://propxico.com/ico/PROPX_ICO_WhitePaper_v1_0.pdf;http://facebook.com/prosperiprop;https://icotracker.net/@prosperiprop;
90;Blockchain Board of Derivatives;Decentralized Cryptocurrency Derivatives Trading Platform;http://www.bbod.io/wp-content/uploads/whitepaper.pdf;https://www.facebook.com/BBODTradingPlatform;https://twitter.com/BBODTrading;
91;Bankera;Blockchain-based bank;http://bankera.com/Bankera_whitepaper.pdf;https://www.facebook.com/bankeracom/;https://twitter.com/Bankeracom;
92;Conpay;Decentralized Multycryptocurrency Payment System;https://conpay.io/ConPay_WP_EN.pdf;https://www.facebook.com/ConPay.io/;https://twitter.com/ConPay_io;https://github.com/ConPay-io
93;ModoView;Innovative Mixed Reality framework for creating easily MR applications;http://www.modoview.com/modoview_wp.pdf;https://www.facebook.com/modoview;https://twitter.com/modoview;
94;Betstreak;First Licensed Blockchain Casino;https://ico.betstreak.io/wp-content/uploads/2017/09/betstreakwhitepaper.pdf;https://www.facebook.com/betstreak/;https://twitter.com/bet_streak;
95;Dentacoin;Blockchain concept designed for the Global Dental Industry;https://dentacoin.com/white-paper/Whitepaper-en%20v.0.9.pdf;https://www.facebook.com/dentacoin/;https://twitter.com/dentacoin?lang=en;https://github.com/neptox/Dentacoin
96;LakeBanker;Free Banking for the World;https://lakebanker.com/whitepaper.pdf;https://www.facebook.com/LakeBanker;https://twitter.com/LakeBanker;
97;USHBA.IO;Next Generation Cryptocurrency Trading Platform;https://ushba.io/whitepaper.pdf;;;
98;Climatecoin;The first cryptocurrency for Climate Change Action;https://climatecoin.io/wp-content/uploads/2017/09/CLIMATECOIN-WHITEPAPER-1.pdf;https://www.facebook.com/climatecoinofficial/;https://twitter.com/InfoClimatecoin;
99;ULedger;Blockchain-based Ecosystem;https://uploads.strikinglycdn.com/files/93d9c901-8459-4ad7-9c5b-16c8962eed80/ULedger%20Business%20White%20Paper.pdf;https://www.facebook.com/Uledger-1691142787870513;https://twitter.com/uledgerco;
